,Time,Programme,ML,IR,Stat,DB,Gender,Chocolate,Birthday,Neighbours,Stand up,Stress,Self esteem,RN,Bedtime,GD1,GD2,GD1-NLTK,GD1-FLAIR,GD2-NLTK,GD2-FLAIR,Bedtime_Hour_c,Stress_c,Self esteem_c,Programme_c,Neighbors_c,Birthday_c,Birthdate_dm_c,Age,RN_c
116,3/30/2021 9:44:01,Master Finance & Technology,yes,0,mu,nee,female,fat,26-03-1999,0,no,60,2 euro,2,22:00,Sun,Success,0.0,0.99,0.5719,0.99,22,60,2.0,FT,0,26-3-1999,26-3,22,2
117,3/30/2021 9:48:32,Artificial Intelligence,yes,1,sigma,ja,male,neither,01/12/1996,1,no,50,63,87,23;30,Good weather,No stress,0.4404,0.958,-0.6124,0.998,23,50,63.0,AI,1,12-1-1996,12-1,25,10
118,3/30/2021 9:49:36,Master Information Studies UvA,yes,0,sigma,nee,male,neither,26/10/1990,0,no,75,7,2,23:45,sun,cycling,0.0,0.99,0.0,0.995,23,75,7.0,DS,0,26-10-1990,26-10,31,2
119,3/30/2021 10:00:00,Medical Informatics,yes,0,mu,nee,female,fat,01-06-1997,0,no,75,20,8,22:30,The sun shines,Meeting with friends,0.0,0.999,0.4767,0.996,22,75,20.0,CS,0,6-1-1997,6-1,24,8
120,3/30/2021 10:07:28,Econometrics ,no,0,mu,nee,female,neither,02/01/1997,1,no,60,1,7,23:30,Good weather,Good sleep the prior day,0.4404,0.958,0.4404,0.553,23,60,1.0,Econometrics,1,1-2-1997,1-2,24,7
121,3/30/2021 10:09:56,MSc Artificial Intelligence,yes,1,mu,nee,male,fat,26-01-1999,0,no,20,1,42,22:19,good night sleep,nice food,0.4404,0.929,0.4215,0.994,22,20,1.0,AI,0,26-1-1999,26-1,22,10
122,3/30/2021 10:13:11,AI,yes,1,mu,nee,male,unknown,5-7-1995,0,no,50,0.2,8,22:30,Sun,25 degrees celsius,0.0,0.99,0.0,-1.0,22,50,0.2,AI,0,7-5-1995,7-5,26,8
123,3/30/2021 10:31:21,CS,no,0,mu,ja,female,neither,14/01/1996,0,no,77,70,3,23,coffee,fulfill the plan,0.0,0.894,0.4404,0.994,23,77,70.0,CS,0,14-1-1996,14-1,25,3
124,3/30/2021 10:32:04,Msc Computer Science,yes,1,mu,ja,male,fat,28-08-1998,0,yes,30,100/n,3452326632,00:00,Sleeping well,Having a walk with my dog,0.2732,0.951,0.0,0.998,0,30,0.0,CS,0,28-8-1998,28-8,23,10
125,3/30/2021 10:36:55,Honours master F&T,yes,0,sigma,nee,male,neither,28-12-1998,0,yes,10,5,21,23:54,Sun shining,Chatting with friends,0.0,0.999,0.4767,0.992,23,10,5.0,FT,0,28-12-1998,28-12,23,10
126,3/30/2021 10:37:05,CS,yes,1,mu,ja,male,fat,28-08-1998,0,yes,30,10,2,00:00,Sleeping well,Having a walk with my dog,0.2732,0.951,0.0,0.998,0,30,10.0,CS,0,28-8-1998,28-8,23,2
127,3/30/2021 10:39:11,Duisenberg Honours Programme in Finance and Technology,yes,1,mu,nee,male,fat,03/05/1995,1,no,15,10,14,23:30,Sun,Beer,0.0,0.99,0.0,0.939,23,15,10.0,FT,1,5-3-1995,5-3,26,10
128,3/30/2021 10:45:18,Master bioinformatics and systems biology,yes,0,unknown,nee,female,slim,08 may 1994,4,no,20,20,8,23:00,if the sun is shinning,Something adventurous took place,0.0,-0.93,0.34,0.999,23,20,20.0,BI,4,8-5-1994,8-5,27,8
129,3/30/2021 10:49:39,Business Analytics ,yes,1,mu,ja,male,fat,01-03-1995,0,no,40,5,2,23:15,Good stock returns,Getting high grades back,0.4404,0.991,0.0,0.927,23,40,5.0,BA,0,3-1-1995,3-1,26,2
130,3/30/2021 10:49:50,Business Analytics,yes,1,mu,ja,male,fat,17/12/1998,0,no,10,3,4,22:30,Zoom meeting,Teams meeting,0.0,0.993,0.0,0.995,22,10,3.0,BA,0,17-12-1998,17-12,23,4
131,3/30/2021 10:53:15,Business Analytics,yes,unknown,mu,ja,male,neither,27/08/1997,0,unknown,60,1 euro,3,21:00,Good weather,Exercise,0.4404,0.958,0.0,-0.976,21,60,1.0,BA,0,27-8-1997,27-8,24,3
132,3/30/2021 10:53:49,CLS,no,0,mu,ja,female,fat,19-04-1997,1,no,40,100,3,23,drinking cola zero,sunny weather,0.0,-1.0,0.4215,0.995,23,40,100.0,CLS,1,19-4-1997,19-4,24,3
133,3/30/2021 10:55:13,Master Artificial Intelligence,no,0,mu,nee,male,neither,15/01/1996,0,no,70,5,5,00:15,Sun outside and no wind,Playing basketball,-0.296,-0.589,0.2023,0.991,0,70,5.0,AI,0,15-1-1996,15-1,25,5
134,3/30/2021 10:55:42,AI,no,0,mu,nee,female,neither,29-09-1996,0,no,50,20,2,14,The sun,Friends,0.0,1.0,0.4767,0.996,14,50,20.0,AI,0,29-9-1996,29-9,25,2
135,3/30/2021 10:55:44,CS,no,0,mu,nee,male,fat,01/01/0000,0,no,over 9000,110,9,1.30 am,pizza,sleeping in,0.0,0.999,0.0,0.987,1,100,100.0,CS,0,,,0,9
136,3/30/2021 10:58:12,AI,yes,0,mu,nee,female,neither,11-12-1995,0,no,30,12,11,21:45,Sun,Good sleep,0.0,0.99,0.4404,0.907,21,30,12.0,AI,0,12-11-1995,12-11,26,10
137,3/30/2021 10:58:32,Econometrics ,yes,0,mu,ja,female,I have no idea what you are talking about,05-06-1996,1,no,70,20,7,22:45,When the sun is shining ,Good night sleep ,0.0,0.989,0.4404,0.929,22,70,20.0,Econometrics,1,6-5-1996,6-5,25,7
138,3/30/2021 11:03:33,Computer Science,yes,1,mu,ja,male,unknown,23011999,3,no,32,99.99,4.554164846,23:39,A nice suprise,A feeling of contentness,0.4215,0.996,0.128,0.999,23,32,99.99,CS,3,,,0,0
139,3/30/2021 11:08:00,AI,yes,0,mu,ja,female,neither,03/08,1,no,40,70,3,23:30,when it's sunny,when I can enjoy nature,0.4215,0.996,0.4939,0.999,23,40,70.0,AI,1,,8-3,0,3
140,3/30/2021 11:09:42,Business Administration,no,0,mu,nee,male,fat,21-08-1998,3,no,10,10,8,22:00,Tasteful food,Good weather,0.0,0.999,0.4404,0.958,22,10,10.0,other,3,21-8-1998,21-8,23,8
141,3/30/2021 11:10:49,Artificial Intelligence Masters,yes,0,mu,nee,male,fat,october,1,no,80,10,8,1am,Sun,Beauty,0.0,0.99,0.5859,0.998,1,80,10.0,AI,1,,,0,8
142,3/30/2021 11:11:47,Msc AI,no,0,mu,ja,female,unknown,15-05,1,no,20,10,5,23:00,Sun,Smile,0.0,0.99,0.3612,0.997,23,20,10.0,AI,1,,15-5,0,5
143,3/30/2021 11:28:20,"RM AI, RM Cognitive Neuropsychology",no,0,mu,nee,female,neither,22-05,1,no,0,70,5,23,fun,sun,0.5106,0.987,0.0,0.99,23,0,70.0,AI,1,,22-5,0,5
144,3/30/2021 11:30:10,RMA Human Language Technology,yes,1,mu,nee,female,neither,11-11-1997,0,no,30,25,7,23.1,sunshine,love,0.4939,0.998,0.6369,0.977,23,30,25.0,HLT,0,11-11-1997,11-11,24,7
145,3/30/2021 11:30:34,BA,yes,1,mu,ja,male,fat,25-07-1999,0,no,80,10,7,23:00,Doing well on study,Feyenoord winning a game,0.2732,0.975,0.5267,0.993,23,80,10.0,BA,0,25-7-1999,25-7,22,7
146,3/30/2021 11:31:11,Bioinformatics,yes,0,sigma,nee,female,slim,08-03-1997,1,no,0,"8,97",8,0.45,Sun,My dog,0.0,0.99,0.0,0.999,0,0,8.0,BI,1,3-8-1997,3-8,24,8
147,3/30/2021 11:36:30,Computational Sciences ,no,0,mu,unknown,male,neither,24/06/1999,0,no,20,1,7,23:30,Friends,Sport,0.4767,0.996,0.0,0.998,23,20,1.0,CLS,0,24-6-1999,24-6,22,7
148,3/30/2021 11:40:04,MSc Stochastics and Financial Mathematics,yes,0,mu,nee,female,fat,26.12.1996,2,yes,70,0,6,23,sun,free time,0.0,0.99,0.5106,0.805,23,70,0.0,CS,2,26-12-1996,26-12,25,6
149,3/30/2021 11:41:42,AI (uva),yes,1,mu,nee,male,slim,25-07-1999,4,no,10,60,2,00:30,good night sleep,things to do,0.4404,0.929,0.0,0.997,0,10,60.0,AI,4,25-7-1999,25-7,22,2
150,3/30/2021 11:49:20,Computational Science,no,1,mu,nee,male,fat,1997-9-27,0,no,70,80,7,2:00,Good weather,Good news,0.4404,0.958,0.4404,0.983,2,70,80.0,CLS,0,27-9-1997,27-9,24,7
151,3/30/2021 11:52:45,MSc AI,no,1,mu,ja,male,fat,05-08-1995,0,no,30,5,968,1am,productivity,food,0.0,0.997,0.0,1.0,1,30,5.0,AI,0,8-5-1995,8-5,26,10
152,3/30/2021 11:54:04,AI,no,1,sigma,nee,female,fat,17-11-1997,0,no,50,5,8,23.59,When I see my friends,Delicious food,0.4767,0.998,0.5719,0.999,23,50,5.0,AI,0,17-11-1997,17-11,24,8
153,3/30/2021 11:54:41,AI,yes,0,mu,ja,female,neither,30-11-1993,3,no,10,20,8,01:15,coffee,sunny weather,0.0,0.894,0.4215,0.995,1,10,20.0,AI,3,30-11-1993,30-11,28,8
154,3/30/2021 11:57:06,Econometrics ,no,unknown,mu,ja,male,unknown,3 Feb,2,unknown,80,get 100 to winner,35,1,Progress ,Happiness ,0.4215,0.999,0.5574,0.996,1,80,100.0,Econometrics,2,,3-2,0,10
155,3/30/2021 11:58:45,Econometrics and data science,no,0,mu,ja,male,unknown,06/07/1993,0,no,25,depends on the number of entrants,92,2400,Friends,Fulfillment,0.4767,0.996,0.0,0.998,23,25,0.0,Econometrics,0,7-6-1993,7-6,28,10
156,3/30/2021 12:05:21,Masters of Artificial Intelligence,no,1,unknown,ja,male,neither,03-02-1998,0,no,80,50,69,23:10,Finishing a lot of work,Playing video games with friends,0.0,0.994,0.5994,0.993,23,80,50.0,AI,0,2-3-1998,2-3,23,10
157,3/30/2021 12:15:56,Master Artificial Intelligence: Cognitive Sciences ,no,1,mu,nee,male,I have no idea what you are talking about,12/11/1996,0,no,20,0,46,0,sun,soccer,0.0,0.99,0.0,0.991,0,20,0.0,AI,0,11-12-1996,11-12,25,10
158,3/30/2021 12:17:26,Artificial Intelligence,yes,1,mu,ja,male,fat,-,0,no,20,50,7,1:00 ,The sun,Being together with friends,0.0,1.0,0.4767,0.999,1,20,50.0,AI,0,,,0,7
159,3/30/2021 12:18:44,Data science,yes,1,mu,ja,female,neither,19-02-1993,0,no,0,50,7,2300,surfing,sun,0.0,0.867,0.0,0.99,23,0,50.0,DS,0,19-2-1993,19-2,28,7
160,3/30/2021 12:20:44,CS,yes,unknown,mu,ja,male,neither,09-07-1997,0,no,99,0.05,3456,01:30,Xtc,Weightlifting,0.2023,0.979,0.0,0.753,1,99,0.05,CS,0,7-9-1997,7-9,24,10
161,3/30/2021 12:24:09,M Information Sciences,no,1,mu,ja,male,neither,01 March,0,no,60,10,15,00,Sunny,Friends,0.4215,0.999,0.4767,0.996,0,60,10.0,DS,0,,1-3,0,10
162,3/30/2021 12:26:34,Business Analytics,yes,1,mu,nee,male,fat,January 1st,0,no,60,100,12,??,Doing Data Mining,Doing more Data Mining,0.0,0.979,0.0,-0.98,23,60,100.0,BA,0,,1-1,0,10
163,3/30/2021 12:28:12,AI,no,0,mu,nee,unknown,neither,June 7,1,no,50,5,7,2:00,sun ,friends,0.0,0.99,0.4767,0.996,2,50,5.0,AI,1,,7-6,0,7
164,3/30/2021 12:29:20,Computational Science,no,0,mu,nee,male,neither,10-02-1999,1,no,10,0.2,10,23.59,No obligations,Being at home,-0.296,0.653,0.0,0.998,23,10,0.2,CLS,1,2-10-1999,2-10,22,10
165,3/30/2021 12:32:25,AI,no,0,mu,ja,male,fat,06.08.1996,0,no,37,5,7,1,snow,not messing up something,0.0,-0.976,0.0,-0.99,1,37,5.0,AI,0,8-6-1996,8-6,25,7
166,3/30/2021 12:33:37,Artificial Intelligence,yes,unknown,mu,ja,female,fat,02-10,0,no,50,40,8,00:20,"Hanging out with friend, some good food and a nice drink.",Riding my horse with some nice weather.,0.836,0.993,0.4215,0.994,0,50,40.0,AI,0,,10-2,0,8
167,3/30/2021 12:39:07,AI,no,unknown,mu,nee,male,neither,30-09-1995,1,no,60,5,6,23:30,completed todo tasks,real life social activity with friends,0.0,0.998,0.4767,0.998,23,60,5.0,AI,1,30-9-1995,30-9,26,6
168,3/30/2021 12:41:22,BA,yes,0,mu,ja,female,neither,19-05-1999,0,no,50,75,8,22:00,1,2,0.0,0.89,0.0,0.92,22,50,75.0,BA,0,19-5-1999,19-5,22,8
169,3/30/2021 12:42:26,MSc Econometrics and Operation Research,no,0,mu,nee,female,neither,14 april 1996,200,no,20,10,10,1.2,Nice weather,Breaks and fun with friends,0.4215,0.973,0.7506,0.997,1,20,10.0,Econometrics,200,14-4-1996,14-4,25,10
170,3/30/2021 12:43:04,AI,no,0,mu,nee,male,fat,05-08-1997,0,no,80,10,9,22:00,good sleep,Me time,0.4404,0.907,0.0,0.988,22,80,10.0,AI,0,8-5-1997,8-5,24,9
171,3/30/2021 12:46:03,Information sciences,no,unknown,mu,ja,female,neither,03-05-1996,8,no,2,50,3,22:30,the sun,finishing the to-do list,0.0,1.0,0.0,0.983,22,2,50.0,DS,8,5-3-1996,5-3,25,3
172,3/30/2021 12:46:26,Information Studies (Data Science) @ UvA,yes,0,mu,nee,male,neither,October '87,0,no,70,1,8,01:00,sleeping well,nice breakfast,0.2732,0.951,0.4215,0.979,1,70,1.0,DS,0,,,0,8
173,3/30/2021 12:48:30,Computer Science,yes,0,mu,ja,male,fat,5-11-1993,0,no,30,2.75,42,2:30,Drinking coffee,Programming,0.0,0.945,0.0,0.993,2,30,2.75,CS,0,11-5-1993,11-5,28,10
174,3/30/2021 12:49:50,AI,no,0,mu,ja,male,fat,19.07.1996,1,no,10,0,4,00:38,sunny,cool,0.4215,0.999,0.3182,0.989,0,10,0.0,AI,1,19-7-1996,19-7,25,4
175,3/30/2021 12:49:57,Econometrics and Operations Research ,no,0,sigma,unknown,female,neither,16.05.1993,2,no,80,70,25,11:45,Shining sun,when being appreciated,0.0,0.999,0.5106,-0.648,23,80,70.0,Econometrics,2,16-5-1993,16-5,28,10
176,3/30/2021 12:52:26,Bioinfromatics,yes,1,unknown,ja,male,fat,15-10-1991,2,yes,70,5,42,9:00,Having friends come over,Spending time wth my brothers,0.4767,0.982,-0.5267,0.994,9,70,5.0,CS,2,15-10-1991,15-10,30,10
177,3/30/2021 12:53:52,Econometrics and Operations Research ,no,0,mu,ja,female,neither,16.05.1993,2,no,80,5,25,11:45pm,Shining sun,being appeciated,0.0,0.999,0.0,-0.997,23,80,5.0,Econometrics,2,16-5-1993,16-5,28,10
178,3/30/2021 12:56:10,AI,no,0,mu,nee,female,slim,01-05-1997,0,no,80,2,9,00:00,My friends,Good grades,0.4767,0.999,0.4404,0.965,0,80,2.0,AI,0,5-1-1997,5-1,24,9
179,3/30/2021 12:57:17,E&OR,yes,0,mu,nee,male,I have no idea what you are talking about,1997,0,yes,60,69,8,01:00,memes,money,0.0,0.992,0.0,-0.6,1,60,69.0,other,0,,,0,8
180,3/30/2021 12:58:29,CLS,no,0,mu,ja,male,fat,March 2nd,0,no,77,4321,921,0200,Spend with Girlfriend,Dinner and game with best friend,0.0,0.913,0.8126,1.0,23,77,100.0,CLS,0,,2-3,0,10
181,3/30/2021 12:59:30,Econometrics & Data Science,yes,0,mu,ja,male,fat,02/07/1998,2,no,10,1,7,00:30,friends,beer,0.4767,0.996,0.0,0.939,0,10,1.0,Econometrics,2,7-2-1998,7-2,23,7
182,3/30/2021 13:06:45,Bioinformatics & Systems biology,yes,0,unknown,unknown,male,unknown,14/12,1,no,90,101,66,0,21/04,01/10,0.0,-0.513,0.0,0.845,0,90,100.0,BI,1,,14-12,0,10
183,3/30/2021 13:08:15,Computational Science,yes,0,mu,nee,male,fat,19-06-1995,0,no,10,10,10,12,Football and Beer,Finalising a large project ,0.0,0.975,0.0,0.997,24,10,10.0,CLS,0,19-6-1995,19-6,26,10
184,3/30/2021 13:12:28,"Management, Policy-Analysis and Entrepreneurship in Health & Life sciences",no,0,mu,ja,female,neither,29/01/1996,1,no,70,50,3,00:50,Petting a dog ,Reaching the goals I set for the day,0.0,-0.526,0.2023,0.999,0,70,50.0,other,1,29-1-1996,29-1,25,3
185,3/30/2021 13:16:39,Econometrics,yes,0,mu,nee,male,neither,09/07/1998,0,no,80,60,2,02:30,Sleep,Sun,0.0,-0.989,0.0,0.99,2,80,60.0,Econometrics,0,7-9-1998,7-9,23,2
186,3/30/2021 13:18:40,Computer Science,no,1,mu,ja,male,neither,March 30th,1,no,90,probably less cause I don't have much experience,4,00:30,family,exercise,0.0,0.995,0.0,-0.976,0,90,0.0,CS,1,,30-3,0,4
187,3/30/2021 13:20:00,Finance and Technology,yes,0,mu,nee,male,slim,27/06/1996,1,no,80,50,8,00:30,Sunlight,Nice company,0.0,1.0,0.4215,0.981,0,80,50.0,FT,1,27-6-1996,27-6,25,8
188,3/30/2021 13:20:45,AI,yes,1,mu,nee,male,I have no idea what you are talking about,29 june 1997,6,no,120,All of it,397,Haha,Filling in a form about data mining,No ronas,0.0,0.813,-0.296,-0.985,23,100,100.0,AI,6,29-6-1997,29-6,24,10
189,3/30/2021 13:26:16,Computational Science,no,0,mu,nee,male,slim,2-7,100,yes,66,0.8,6,23:00,Sun,Sports,0.0,0.99,0.0,0.998,23,66,0.8,CLS,100,,7-2,0,6
190,3/30/2021 13:30:42,Computational Science,no,0,unknown,nee,male,fat,22/03/94,0,no,50,0,562,1AM,Not being tired,Eating tasty food,0.3412,0.993,0.0,0.998,1,50,0.0,CLS,0,22-3-1994,22-3,27,10
191,3/30/2021 13:33:38,computational science,no,0,mu,nee,male,slim,26/07,0,no,1,0,312,03:00,productivity,variety,0.0,0.997,0.0,0.999,3,1,0.0,CLS,0,,26-7,0,10
192,3/30/2021 13:40:00,EOR,no,0,mu,ja,male,fat,10/07,2,yes,80,20,7,3:30,sun,girls,0.0,0.99,0.0,0.984,3,80,20.0,other,2,,7-10,0,7
193,3/30/2021 13:41:52,Computational Science UvA/VU,no,0,mu,nee,male,slim,20/07/1991,1,no,30,10,3,12 midnight,good food,plenty of sleep,0.4404,0.993,0.0,0.881,24,30,10.0,CLS,1,20-7-1991,20-7,30,3
194,3/30/2021 13:45:25,Bioinformatics,yes,0,unknown,nee,female,I have no idea what you are talking about,09-02-1998,0,no,55,40,5531,8,Sun,Cheese,0.0,0.99,0.0,-0.999,8,55,40.0,BI,0,2-9-1998,2-9,23,10
195,3/30/2021 13:46:26,AI,yes,0,mu,nee,male,neither,26-05-1997,0,yes,15,100/#studentes*1.2,12,23:59,BBQ,Surf,0.0,-0.978,0.0,0.987,23,15,0.0,AI,0,26-5-1997,26-5,24,10
196,3/30/2021 13:46:59,Computational Science,yes,1,sigma,ja,unknown,unknown,1992/10/28,0,no,99,None of it,1103,22:15,Running,Social activity,0.0,0.652,0.0,0.999,22,99,0.0,CLS,0,28-10-1992,28-10,29,10
197,3/30/2021 13:47:18,MSc Bioinformatics & Systems Biology,yes,0,unknown,nee,female,I have no idea what you are talking about,I don't want to answer,0,no,19,100,7,0350,Weather,food,0.0,0.537,0.0,1.0,23,19,100.0,BI,0,,,0,7
198,3/30/2021 13:47:20,Computational Science,yes,0,mu,nee,female,fat,17-03-1997,0,no,50,110,9,22.3,Kitesurfing,Sunshine,0.0,0.984,0.4939,0.998,22,50,100.0,CLS,0,17-3-1997,17-3,24,9
199,3/30/2021 13:47:21,Computational Science,no,0,mu,nee,male,neither,January,0,no,92,8 euros,860394992932992,12,pizza,sun,0.0,0.999,0.0,0.99,24,92,8.0,CLS,0,,,0,10
200,3/30/2021 13:47:31,Artificial Intelligence,no,0,mu,nee,female,neither,10-01-1998,0,no,30,100/number of people,7,23:30,When the sun is out,Nice plans for the day ,0.0,0.985,0.4215,0.974,23,30,0.0,AI,0,1-10-1998,1-10,23,7
201,3/30/2021 13:48:08,HLT,yes,0,unknown,nee,female,I have no idea what you are talking about,01-01-1997,1,no,60,100/(number of people),86,1:00,coffee,sunshine,0.0,0.894,0.4939,0.998,1,60,0.0,HLT,1,1-1-1997,1-1,24,10
202,3/30/2021 13:48:10,Computer Science,no,1,mu,ja,male,slim,08-06-1993,0,no,78,100,2,00:00,Sunshine,More sunshine,0.4939,0.998,0.5413,0.999,0,78,100.0,CS,0,6-8-1993,6-8,28,2
203,3/30/2021 13:48:56,Artificial Intellingence,yes,1,mu,ja,male,slim,04-06-1997,0,unknown,69,100%,7,12:00,fun,bright sun,0.5106,0.987,0.4404,0.999,24,69,100.0,AI,0,6-4-1997,6-4,24,7
204,3/30/2021 13:49:10,Artificial Intelligence,yes,1,mu,ja,male,I have no idea what you are talking about,25-06,0,no,10,1,01927512042,02:00,Good feelings,A lot of fun,0.4404,0.997,0.5106,0.997,2,10,1.0,AI,0,,25-6,0,10
205,3/30/2021 13:49:13,Data Science,yes,unknown,unknown,ja,male,slim,20th May 1996,6,no,1,100,2,05:15,Drinking Beer,Gaming with Friends,0.0,0.834,0.4767,0.971,5,1,100.0,DS,6,20-5-1996,20-5,25,2
206,3/30/2021 13:49:29,Bioinformatics and Systems Biology,yes,0,mu,ja,male,neither,04-06-1998,0,no,45,0.5,3.141592,23:00,sun,freedom,0.0,0.99,0.6369,0.999,23,45,0.5,BI,0,6-4-1998,6-4,23,0
207,3/30/2021 13:49:45,Information studies Data Science (UvA),yes,0,sigma,nee,male,fat,02-04,0,no,0,"i would try to win, or else doesnt matter how much i deserve, only as much as given",2,1,enjoying the sun,spending time with my sons,0.5267,0.997,0.0,1.0,1,0,,DS,0,,4-2,0,2
208,3/30/2021 13:49:52,Computational Science,no,0,mu,nee,male,fat,01-12-1994,0,no,0,100/participants,5.46747E+19,10:00,Sports,Beer,0.0,0.998,0.0,0.939,22,0,0.0,CLS,0,12-1-1994,12-1,27,0
209,3/30/2021 13:49:54,Master Artificial Intelligence,yes,1,mu,nee,male,fat,06-05-1998,0,no,80,1/n,83927759928872848393,12:30,friday,saturday,0.0,0.829,0.0,0.912,24,80,0.0,AI,0,5-6-1998,5-6,23,10
210,3/30/2021 13:50:06,Computational Sciences,no,0,mu,nee,female,neither,20-10-1993,0,no,35,3,75327680576897923158327485378165,20.3,Friends,completing tasks,0.4767,0.996,0.0,0.988,20,35,3.0,CLS,0,20-10-1993,20-10,28,10
211,3/30/2021 13:50:07,BA,no,0,mu,nee,male,neither,20.02.1999,0,yes,44,2,5,01:00,football,running,0.0,0.894,0.0,0.652,1,44,2.0,BA,0,20-2-1999,20-2,22,5
212,3/30/2021 13:50:37,Business Analytics,yes,unknown,mu,ja,female,neither,1-1-1997,4,yes,8,No idea.,8,22:00,Cats,Sunshine,0.0,0.961,0.4939,0.998,22,8,,BA,4,1-1-1997,1-1,24,8
213,3/30/2021 13:51:02,Business Analytics,yes,1,mu,ja,male,neither,27-08-1998,1,no,20,1,54509,?,Beer and friends,No obligations,0.4767,1.0,-0.296,0.653,23,20,1.0,BA,1,27-8-1998,27-8,23,10
214,3/30/2021 13:51:08,Computer Science,yes,1,mu,ja,female,I have no idea what you are talking about,16/12/1996,0,no,50,100,34,10pm,sunshine,good food,0.4939,0.998,0.4404,0.993,22,50,100.0,CS,0,16-12-1996,16-12,25,10
215,3/30/2021 13:51:09,Artificial Intelligence,yes,0,mu,nee,male,I have no idea what you are talking about,21-09-1995,0,no,80,30cent,77,8,"If a spend my day usefull. Learned new things, improving myself",Good weather,0.4215,-0.594,0.4404,0.958,8,80,0.0,AI,0,21-9-1995,21-9,26,10
216,3/30/2021 13:51:23,Computational Science,yes,0,mu,ja,male,slim,21-2-1990,50,yes,80,20,13,22:00,Ice cream,double ice cream,0.0,0.999,0.0,0.838,22,80,20.0,CLS,50,21-2-1990,21-2,31,10
217,3/30/2021 13:51:33,Artificial Intelligence,no,0,mu,nee,male,I have no idea what you are talking about,24.08.1996,0,unknown,25,25,69,21:37,No work,No stress,-0.296,-0.992,-0.6124,0.998,21,25,25.0,AI,0,24-8-1996,24-8,25,10
218,3/30/2021 13:52:11,Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,July 5th,0,no,50,0.69,6,00:30,Good grade,Not filling in excessively long forms,0.4404,0.971,0.0,-0.998,0,50,0.69,BA,0,,5-7,0,6
219,3/30/2021 13:53:02,Computer Science,yes,0,sigma,nee,male,fat,0319,0,no,70,5,666,2300,coffee,jogging,0.0,0.894,0.0,0.975,23,70,5.0,CS,0,3-1-9,3-1,0,10
220,3/30/2021 13:53:25,Computational Science,yes,1,mu,ja,male,neither,01/01/1991,0,yes,60,100/N,0,2am,Sunshine,Warm weather,0.4939,0.998,0.2263,0.957,2,60,0.0,CLS,0,1-1-1991,1-1,30,0
221,3/30/2021 13:53:30,Computer Science,yes,1,mu,nee,female,I have no idea what you are talking about,9 february,one,no,100,80,9,What?,Movements,Food,0.0,0.998,0.0,1.0,23,100,80.0,CS,1,,9-2,0,9
222,3/30/2021 13:53:48,Business Analytics,yes,0,mu,nee,male,neither,30 july 1997,zero,no,20,20,18,10 hours,Sun,Beer,0.0,0.99,0.0,0.939,22,20,20.0,BA,0,30-7-1997,30-7,24,10
223,3/30/2021 13:54:12,Econometrics and Data Science,yes,0,sigma,nee,male,neither,25/03/1995,1,no,99,€50,555,11:11,Good company,Good food,0.4404,0.99,0.4404,0.993,23,99,5.0,Econometrics,1,25-3-1995,25-3,26,10
224,3/30/2021 13:54:28,Bioinformatics and systems biology,yes,unknown,unknown,nee,female,fat,May 13,2,no,80,50 cent,7,Unknown,Nice weather,Food,0.4215,0.973,0.0,1.0,23,80,0.0,BI,2,,13-5,0,7
225,3/30/2021 13:56:54,Artificial Intelligence,no,0,mu,nee,female,slim,07-06-1992,0,no,60,20,5,23:00,Doing something meaningful,sun,0.3182,1.0,0.0,0.99,23,60,20.0,AI,0,6-7-1992,6-7,29,5
226,3/30/2021 13:58:13,Information Studies: Data Science (track),yes,0,unknown,ja,female,neither,02-10-1995,0,yes,75,10,5,42,nothing,nothing,0.0,-0.965,0.0,-0.965,23,75,10.0,DS,0,10-2-1995,10-2,26,5
227,3/30/2021 13:59:04,Bioinformatics ,yes,1,sigma,nee,male,neither,21/5,0,no,80,50,18,24:00,good weather ,no body dies ,0.4404,0.958,-0.296,-0.812,24,80,50.0,BI,0,,21-5,0,10
228,3/30/2021 13:59:37,Artificial Intelligence,yes,0,mu,nee,male,slim,14-10-1994,0,no,0,100,7,23:34,Love,Happiness,0.6369,0.977,0.5574,0.996,23,0,100.0,AI,0,14-10-1994,14-10,27,7
229,3/30/2021 14:04:42,https://forms.gle/eTy4nEs3khRqPtMLA,yes,0,mu,ja,male,I have no idea what you are talking about,10-02-1996,2,no,55,1.000.000,5,?,Productivity,Fun,0.0,0.997,0.5106,0.987,23,55,100.0,other,2,2-10-1996,2-10,25,5
230,3/30/2021 14:05:45,Data Science (information studies),yes,0,mu,ja,female,fat,02-03-1998,0,no,100,70,98,15:00,nice food,good workout,0.4215,0.994,0.4404,0.99,15,100,70.0,DS,0,3-2-1998,3-2,23,10
231,3/30/2021 14:10:58,Business Analytics,yes,1,mu,ja,unknown,neither,-,1,yes,40,5,8,-,-,-,0.0,0.97,0.0,0.97,23,40,5.0,BA,1,,,0,8
232,3/30/2021 14:21:35,Computational Science,no,0,mu,nee,male,slim,2-7,100,yes,66,0.8,6,23:00,Sun,Sports,0.0,0.99,0.0,0.998,23,66,0.8,CLS,100,,7-2,0,6
233,3/30/2021 14:24:07,Business Analytics,yes,1,mu,ja,male,fat,09-03-1998,0,no,20,1000,3,10:00,Being productive,Relaxing after being productive,0.0,0.99,0.4939,0.986,22,20,100.0,BA,0,3-9-1998,3-9,23,3
